target,lot,step,max_l,mode,use_trix,net_profit,final_balance,max_dd_pct,harvest_count,total_trades,roi_pct
100.0,0.05,300.0,2,basket,False,3129.9821777343823,13129.982177734382,20.58163886965389,148,1263,31.299821777343823
50.0,0.08,400.0,4,basket,False,3115.998828125521,13115.998828125521,28.775229256114365,281,1146,31.159988281255206
50.0,0.08,400.0,3,basket,False,3115.998828125521,13115.998828125521,28.775229256114365,281,1146,31.159988281255206
50.0,0.08,400.0,2,basket,False,3115.998828125521,13115.998828125521,28.775229256114365,281,1146,31.159988281255206
75.0,0.08,300.0,3,per_order,False,3092.8160156257145,13092.816015625714,31.32922626391975,260,1234,30.928160156257146
75.0,0.08,300.0,4,per_order,False,3092.8160156257145,13092.816015625714,31.32922626391975,260,1234,30.928160156257146
75.0,0.05,300.0,2,per_order,False,3084.000000000029,13084.00000000003,24.573269528582312,207,1260,30.840000000000288
100.0,0.1,500.0,4,per_order,False,2997.0122070320576,12997.012207032058,48.570096394177895,230,1131,29.970122070320578
100.0,0.1,500.0,2,per_order,False,2997.0122070320576,12997.012207032058,48.570096394177895,230,1131,29.970122070320578
100.0,0.1,500.0,3,per_order,False,2997.0122070320576,12997.012207032058,48.570096394177895,230,1131,29.970122070320578
100.0,0.08,300.0,2,per_order,True,2991.2136718756155,12991.213671875616,23.795925442214962,190,998,29.912136718756155
50.0,0.08,300.0,2,per_order,True,2972.7882812504613,12972.788281250461,20.248981586714592,263,954,29.727882812504614
50.0,0.08,300.0,3,per_order,True,2972.7882812504613,12972.788281250461,20.248981586714592,263,954,29.727882812504614
50.0,0.08,300.0,4,per_order,True,2972.7882812504613,12972.788281250461,20.248981586714592,263,954,29.727882812504614
75.0,0.05,300.0,3,basket,False,2965.4941406250073,12965.494140625007,20.44020019237595,175,1263,29.654941406250074
75.0,0.05,300.0,4,basket,False,2965.4941406250073,12965.494140625007,20.44020019237595,175,1263,29.654941406250074
100.0,0.05,500.0,2,per_order,False,2908.991699218812,12908.991699218812,24.44878755598532,165,1218,29.08991699218812
100.0,0.05,400.0,3,basket,False,2881.982177734375,12881.982177734375,19.09027666037917,146,1242,28.81982177734375
100.0,0.05,400.0,4,basket,False,2881.982177734375,12881.982177734375,19.09027666037917,146,1242,28.81982177734375
75.0,0.1,500.0,2,basket,False,2877.0200195319285,12877.020019531928,46.718484230639504,253,1113,28.770200195319283
75.0,0.1,500.0,4,basket,False,2877.0200195319285,12877.020019531928,46.718484230639504,253,1113,28.770200195319283
75.0,0.1,500.0,3,basket,False,2877.0200195319285,12877.020019531928,46.718484230639504,253,1113,28.770200195319283
50.0,0.1,500.0,4,per_order,True,2855.9975585942175,12855.997558594217,28.638520885284386,255,862,28.559975585942176
50.0,0.1,500.0,2,basket,True,2855.9975585942175,12855.997558594217,28.638520885284386,255,862,28.559975585942176
50.0,0.1,500.0,3,per_order,True,2855.9975585942175,12855.997558594217,28.638520885284386,255,862,28.559975585942176
50.0,0.1,500.0,4,basket,True,2855.9975585942175,12855.997558594217,28.638520885284386,255,862,28.559975585942176
50.0,0.1,500.0,3,basket,True,2855.9975585942175,12855.997558594217,28.638520885284386,255,862,28.559975585942176
50.0,0.1,500.0,2,per_order,True,2855.9975585942175,12855.997558594217,28.638520885284386,255,862,28.559975585942176
75.0,0.05,300.0,2,basket,False,2801.9921875000146,12801.992187500015,22.26891937736511,174,1249,28.019921875000147
50.0,0.1,300.0,4,per_order,False,2748.004882813175,12748.004882813175,31.377705580356018,344,1188,27.480048828131746
50.0,0.1,300.0,3,per_order,False,2748.004882813175,12748.004882813175,31.377705580356018,344,1188,27.480048828131746
50.0,0.1,300.0,2,per_order,False,2748.004882813175,12748.004882813175,31.377705580356018,344,1188,27.480048828131746
100.0,0.05,400.0,3,per_order,False,2724.9921875000073,12724.992187500007,21.824743299972234,177,1351,27.249921875000073
100.0,0.05,400.0,4,per_order,False,2713.4914550781286,12713.491455078129,21.452463928375607,178,1362,27.134914550781286
100.0,0.05,400.0,2,basket,False,2703.9860839843823,12703.986083984382,21.509157077573732,145,1222,27.039860839843822
75.0,0.1,400.0,2,basket,False,2692.026367188191,12692.026367188191,43.32739652793544,257,1158,26.920263671881912
75.0,0.1,400.0,3,basket,False,2692.026367188191,12692.026367188191,43.32739652793544,257,1158,26.920263671881912
