mode,buffer,sl,step,lock,trades,wr,net,pf,max_dd,min_bal
LIMIT,10.0,25.0,8.0,1000.0,52,13.461538461538462,4.944999999871925,1.0010738024767751,3556.905000000063,1437.3199999999374
LIMIT,10.0,25.0,10.0,300.0,52,23.076923076923077,-462.35500000008983,0.8975832023648335,3344.205000000025,1650.0199999999754
LIMIT,10.0,25.0,10.0,500.0,52,17.307692307692307,-1083.0350000000783,0.7748922562736462,3964.8850000000134,1029.339999999987
LIMIT,10.0,25.0,10.0,800.0,52,17.307692307692307,-1092.6400000001252,0.7728958666107988,3974.4900000000603,1019.7349999999401
LIMIT,10.0,25.0,10.0,1000.0,52,17.307692307692307,-1092.6400000001252,0.7728958666107988,3974.4900000000603,1019.7349999999401
LIMIT,10.0,25.0,12.0,300.0,52,21.153846153846153,-1461.7150000000684,0.696366068627987,3980.7400000000234,1013.4849999999769
LIMIT,10.0,25.0,12.0,500.0,52,17.307692307692307,-2092.395000000057,0.6016981739062465,4611.420000000012,382.80499999998847
LIMIT,10.0,25.0,12.0,800.0,52,17.307692307692307,-1897.4800000000741,0.6388015890993888,4416.505000000029,577.7199999999712
LIMIT,10.0,25.0,12.0,1000.0,52,15.384615384615385,-2662.3400000000456,0.5218747586781501,5181.365000000001,-187.14000000000033
LIMIT,10.0,25.0,15.0,300.0,52,25.0,-2505.1200000000576,0.4744374862321688,4082.7449999999953,911.480000000005
LIMIT,10.0,25.0,15.0,500.0,52,23.076923076923077,-1953.9550000001254,0.6232573564358417,4475.325000000062,518.8999999999387
LIMIT,10.0,25.0,15.0,800.0,52,21.153846153846153,-2513.815000000097,0.5384484741881944,5035.185000000033,-40.96000000003278
LIMIT,10.0,25.0,15.0,1000.0,52,21.153846153846153,-2592.41500000008,0.5240170423092381,5035.185000000033,-40.96000000003278
LIMIT,10.0,30.0,8.0,300.0,52,21.153846153846153,1231.2749999999041,1.3043890464194452,2371.8850000000048,2622.3399999999956
LIMIT,10.0,30.0,8.0,500.0,52,15.384615384615385,369.5149999999185,1.083169963694784,3192.3350000000164,1801.889999999984
LIMIT,10.0,30.0,8.0,800.0,52,15.384615384615385,843.9599999998691,1.189957437613776,2799.3650000000002,2194.86
LIMIT,10.0,30.0,8.0,1000.0,52,15.384615384615385,843.9599999998691,1.189957437613776,2799.3650000000002,2194.86
LIMIT,10.0,30.0,10.0,300.0,52,25.0,286.6599999999073,1.0660171502727087,2595.190000000028,2399.0349999999726
LIMIT,10.0,30.0,10.0,500.0,52,19.230769230769234,-334.02000000008115,0.9279965595625554,3215.8700000000163,1778.354999999984
LIMIT,10.0,30.0,10.0,800.0,52,19.230769230769234,-343.625000000128,0.9259260456849288,3225.475000000063,1768.7499999999372
LIMIT,10.0,30.0,10.0,1000.0,52,19.230769230769234,-343.625000000128,0.9259260456849288,3225.475000000063,1768.7499999999372
LIMIT,10.0,30.0,12.0,300.0,52,23.076923076923077,-832.7000000000717,0.8213791579701382,3351.7250000000263,1642.499999999974
LIMIT,10.0,30.0,12.0,500.0,52,19.230769230769234,-1463.3800000000601,0.7131218082551516,3982.4050000000148,1011.8199999999856
LIMIT,10.0,30.0,12.0,800.0,52,19.230769230769234,-1268.4650000000775,0.751332568784843,3787.490000000032,1206.7349999999683
LIMIT,10.0,30.0,12.0,1000.0,52,15.384615384615385,-2825.100000000044,0.5070536812625884,5344.124999999999,-349.8999999999987
LIMIT,10.0,30.0,15.0,300.0,52,28.846153846153843,-1911.0050000000674,0.5776863860015742,3488.630000000005,1505.5949999999953
LIMIT,10.0,30.0,15.0,500.0,52,25.0,-1645.7150000001266,0.6838191501215921,4167.085000000063,827.1399999999376
LIMIT,10.0,30.0,15.0,800.0,52,23.076923076923077,-2205.575000000098,0.5964166383042419,4726.945000000034,267.2799999999661
LIMIT,10.0,30.0,15.0,1000.0,52,21.153846153846153,-2870.950000000076,0.4985222655799567,5313.72000000003,-319.4950000000299
LIMIT,12.0,15.0,8.0,300.0,48,16.666666666666664,-306.51000000007457,0.910514038473307,2612.160000000038,2392.0649999999623
LIMIT,12.0,15.0,8.0,500.0,48,12.5,-839.6200000000533,0.7752159840223887,3145.270000000017,1858.9549999999836
LIMIT,12.0,15.0,8.0,800.0,48,12.5,-839.6200000000533,0.7752159840223887,3145.270000000017,1858.9549999999836
LIMIT,12.0,15.0,8.0,1000.0,48,12.5,-285.1750000001027,0.9236526264781277,2590.825000000066,2413.399999999934
LIMIT,12.0,15.0,10.0,300.0,48,14.583333333333334,-1517.8500000000613,0.6224469744268212,3483.5000000000246,1520.7249999999758
LIMIT,12.0,15.0,10.0,500.0,48,12.5,-1769.6200000000536,0.5791859184872045,3735.270000000017,1268.9549999999836
LIMIT,12.0,15.0,10.0,800.0,48,12.5,-1455.175000000103,0.6539606632692855,3420.825000000066,1583.3999999999342
LIMIT,12.0,15.0,10.0,1000.0,48,12.5,-1455.175000000103,0.6539606632692855,3420.825000000066,1583.3999999999342
LIMIT,12.0,15.0,12.0,300.0,48,20.833333333333336,-776.025000000071,0.7955262263419949,2401.6750000000347,2602.5499999999656
LIMIT,12.0,15.0,12.0,500.0,48,18.75,-835.4250000000579,0.7916765372559534,2461.0750000000216,2543.1499999999787
LIMIT,12.0,15.0,12.0,800.0,48,16.666666666666664,-929.6550000000761,0.7695111202569349,2555.3050000000394,2448.919999999961
LIMIT,12.0,15.0,12.0,1000.0,48,16.666666666666664,-1133.8400000000738,0.7188876395997736,2759.490000000037,2244.7349999999633
LIMIT,12.0,15.0,15.0,300.0,48,25.0,-845.1950000000659,0.7471160678888868,2017.6850000000177,3043.379999999971
LIMIT,12.0,15.0,15.0,500.0,48,22.916666666666664,86.4899999999227,1.0240101603869616,2091.9400000000296,2961.3199999999606
LIMIT,12.0,15.0,15.0,800.0,48,22.916666666666664,46.79999999992219,1.0129919702405934,2131.63000000003,2921.62999999996
